message,error_bit,codeword,received,decoded,pass
0001100,2,00000011000101,00000011000001,0001100,1
0001100,3,00000011000101,00000011001101,0001100,1
0001100,4,00000011000101,00000011010101,0001100,1
0001100,5,00000011000101,00000011100101,0001100,1
0001100,6,00000011000101,00000010000101,0001100,1
0001100,7,00000011000101,00000001000101,0001100,1
0001100,8,00000011000101,00000111000101,0001100,1
0001100,9,00000011000101,00001011000101,0001100,1
0001100,10,00000011000101,00010011000101,0001100,1
0001100,11,00000011000101,00100011000101,0001100,1
0001100,12,00000011000101,01000011000101,0001100,1
0001100,13,00000011000101,10000011000101,0001100,1
0001101,-1,00000011000110,00000011000110,0001101,1
0001101,0,00000011000110,00000011000111,0001100,0
0001101,1,00000011000110,00000011000100,0001100,0
0001101,2,00000011000110,00000011000010,0001110,0
0001101,3,00000011000110,00000011001110,0001110,0
0001101,4,00000011000110,00000011010110,0001101,1
0001101,5,00000011000110,00000011100110,0001101,1
0001101,6,00000011000110,00000010000110,0001101,1
0001101,7,00000011000110,00000001000110,0001101,1
0001101,8,00000011000110,00000111000110,0001101,1
0001101,9,00000011000110,00001011000110,0001101,1
0001101,10,00000011000110,00010011000110,0001101,1
0001101,11,00000011000110,00100011000110,0001101,1
0001101,12,00000011000110,01000011000110,0001101,1
0001101,13,00000011000110,10000011000110,0001101,1
0001110,-1,00000011001010,00000011001010,0001110,1
0001110,0,00000011001010,00000011001011,0001110,1
0001110,1,00000011001010,00000011001000,0001110,1
0001110,2,00000011001010,00000011001110,0001110,1
0001110,3,00000011001010,00000011000010,0001110,1
0001110,4,00000011001010,00000011011010,0001110,1
0001110,5,00000011001010,00000011101010,0001110,1
0001110,6,00000011001010,00000010001010,0001110,1
0001110,7,00000011001010,00000001001010,0001110,1
0001110,8,00000011001010,00000111001010,0001110,1
0001110,9,00000011001010,00001011001010,0001110,1
0001110,10,00000011001010,00010011001010,0001110,1
0001110,11,00000011001010,00100011001010,0001110,1
0001110,12,00000011001010,01000011001010,0001110,1
0001110,13,00000011001010,10000011001010,0001110,1
0001111,-1,00000011001001,00000011001001,0001111,1
0001111,0,00000011001001,00000011001000,0001110,0
0001111,1,00000011001001,00000011001011,0001110,0
0001111,2,00000011001001,00000011001101,0001100,0
0001111,3,00000011001001,00000011000001,0001100,0
0001111,4,00000011001001,00000011011001,0001111,1
0001111,5,00000011001001,00000011101001,0001111,1
0001111,6,00000011001001,00000010001001,0001111,1
0001111,7,00000011001001,00000001001001,0001111,1
0001111,8,00000011001001,00000111001001,0001111,1
0001111,9,00000011001001,00001011001001,0001111,1
0001111,10,00000011001001,00010011001001,0001111,1
0001111,11,00000011001001,00100011001001,0001111,1
0001111,12,00000011001001,01000011001001,0001111,1
0001111,13,00000011001001,10000011001001,0001111,1
0010000,-1,00001111101100,00001111101100,0010000,1
0010000,0,00001111101100,00001111101101,0010000,1
0010000,1,00001111101100,00001111101110,0010000,1
0010000,2,00001111101100,00001111101000,0010000,1
0010000,3,00001111101100,00001111100100,0010000,1
0010000,4,00001111101100,00001111111100,0010000,1
0010000,5,00001111101100,00001111001100,0010000,1
0010000,6,00001111101100,00001110101100,0010000,1
0010000,7,00001111101100,00001101101100,0010000,1
0010000,8,00001111101100,00001011101100,0010000,1
0010000,9,00001111101100,00000111101100,0010000,1
0010000,10,00001111101100,00011111101100,0010000,1
0010000,11,00001111101100,00101111101100,0010000,1
0010000,12,00001111101100,01001111101100,0010000,1
0010000,13,00001111101100,10001111101100,0010000,1
0010001,-1,00001111101111,00001111101111,0010001,1
0010001,0,00001111101111,00001111101110,0010000,0
0010001,1,00001111101111,00001111101101,0010000,0
0010001,2,00001111101111,00001111101011,0010010,0
0010001,3,00001111101111,00001111100111,0010010,0
0010001,4,00001111101111,00001111111111,0010001,1
0010001,5,00001111101111,00001111001111,0010001,1
0010001,6,00001111101111,00001110101111,0010001,1
0010001,7,00001111101111,00001101101111,0010001,1
0010001,8,00001111101111,00001011101111,0010001,1
0010001,9,00001111101111,00000111101111,0010001,1
0010001,10,00001111101111,00011111101111,0010001,1
0010001,11,00001111101111,00101111101111,0010001,1
0010001,12,00001111101111,01001111101111,0010001,1
0010001,13,00001111101111,10001111101111,0010001,1
0010010,-1,00001111100011,00001111100011,0010010,1
0010010,0,00001111100011,00001111100010,0010010,1
0010010,1,00001111100011,00001111100001,0010010,1
0010010,2,00001111100011,00001111100111,0010010,1
0010010,3,00001111100011,00001111101011,0010010,1
0010010,4,00001111100011,00001111110011,0010010,1
0010010,5,00001111100011,00001111000011,0010010,1
0010010,6,00001111100011,00001110100011,0010010,1
0010010,7,00001111100011,00001101100011,0010010,1
0010010,8,00001111100011,00001011100011,0010010,1
0010010,9,00001111100011,00000111100011,0010010,1
0010010,10,00001111100011,00011111100011,0010010,1
0010010,11,00001111100011,00101111100011,0010010,1
0010010,12,00001111100011,01001111100011,0010010,1
0010010,13,00001111100011,10001111100011,0010010,1
0010011,-1,00001111100000,00001111100000,0010011,1
0010011,0,00001111100000,00001111100001,0010010,0
0010011,1,00001111100000,00001111100010,0010010,0
0010011,2,00001111100000,00001111100100,0010000,0
0010011,3,00001111100000,00001111101000,0010000,0
0010011,4,00001111100000,00001111110000,0010011,1
0010011,5,00001111100000,00001111000000,0010011,1
0010011,6,00001111100000,00001110100000,0010011,1
0010011,7,00001111100000,00001101100000,0010011,1
0010011,8,00001111100000,00001011100000,0010011,1
0010011,9,00001111100000,00000111100000,0010011,1
0010011,10,00001111100000,00011111100000,0010011,1
