msg_bits,message,received,decoded,pass
40,0000110010101110110110011110111110011101,00000000110001010011010001101010101101101101010000100110101110010110010000101010001011,0000110010101110110110011110111110011101,1
40,1010011110111100001000011010010100110111,11110100100001100110101110011001110011111011001100011000100011010010000001101110100111,1010011110111100001000011010010100110111,1
40,0000100000001001111011101110100111000100,00000000111110110000000011111000001001101011101010111010100010000010101111111110110000,0000100000001001111011101110100111000100,1
40,1010001100101101111111100000110010010110,11110100101111000101001101110110111001010101011001110001110001010011100011011101011100,1010001100101101111111100000110010010110,1
40,1110011011111101011000101010110110010111,11001010010000011011100101011010000111010111111101000100001101101101010011011110100111,1110011011111101011000101010110110010111,1
40,0001011001111000110100100001001000011000,00000011110111010100011001100111110001100010001110110011111000111011001100010111000000,0001011001111000110100100001001000011000,1
40,1010111010101011110100010100011111111001,11110100011110101000010101000111100110100010111111010010111100100101010101100100111011,1010111010101011110100010100011111111001,1
40,1101000001110100101001011010001000100001,11000110001011100011001010100010001101001000110111011000101111111011111110110011111011,1101000001110100101001011010001000100001,1
40,0000010100101100010011001011111101101111,00000000001111010010001101110101111111110000010100110111100101011010110110111001100111,0000010100101100010011001011111101101111,1
40,1000000011110010010101100111010110010101,11111011000000001100100110010011100011010001110101000010101000011111010011010001001011,1000000011110010010101100111010110010101,1
40,1100101000100110001000110000110110100011,11000101001101001011111110000001011111111011110001011100110001100101100010111100010111,1100101000100110001000110000110110100011,1
40,1100011100100110000001100000101100100011,11000101111100101001001110000001011100000011000101110000111101110101001111111100010111,1100011100100110000001100000101100100011,1
40,0000101001111100111101100011001101110100,00000000111101001000001001011001000010011010110101111100010100000110011010100010110000,0000101001111100111101100011001101110100,1
40,1011000111101111001110000111000000100101,11110101010111110010011010111001100100001010011100110010100111000000111110001101001011,1011000111101111001110000111000000100101,1
40,1011101000010100000011110111111110010011,11110111100010001011001111010010110000001100100110101110010101010110010011100000010111,1011101000010100000011110111111110010011,1
40,1101010100010111111011000001010110010110,11000110000100010010111111011110010111101011010111000011110100011101010011011101011100,1101010100010111111011000001010110010110,1
40,1110101001101011010101000111111110111101,11001010100001001000000110000111011000010001001011110010010101010110101110011010011011,1110101001101011010101000111111110111101,1
40,0000011100001010111000110100000110000000,00000000001100101001110011110100011110100111110001100010110000110001011100000000010000,0000011100001010111000110100000110000000,1
40,1011000011100110001001010111000000100100,11110111010111001100101001000001011111111000110100010110100111000000111110001110110000,1011000011100110001001010111000000100100,1
40,0010101010001011110100000001110000111000,00001111010001000100101111110111100111100010110000000011001010011100110010100111000000,0010101010001011110100000001110000111000,1
40,0111000110011111100001010010100100111101,00110010100111110001010000100101011011110011110100100011010010001110000010011010001011,0111000110011111100001010010100100111101,1
40,1001111101110010010111010101110011011000,11111000001001111010111010010011100011011110101000010001111010010000011011010111000000,1001111101110010010111010101110011011000,1
40,1000001110000001001100101000001000001101,11111011000011001010011100000011111000000101001101001011000011111011000010000110001011,1000001110000001001100101000001000001101,1
40,0100010000111101001001110110101011110000,00111110111111101100110010011010001010111000001010101101100001000111100110011100000000,0100010000111101001001110110101011110000,1
40,0100111000011010011110110110000111000111,00111110000010100111001100011000100000100110101101101101011110110010100111110010100111,0100111000011010011110110110000111000111,1
40,1000011100101101011110101101001110011001,11111011001100101001001101110110000111100110110001110110001000001010010000010100111011,1000011100101101011110101101001110011001,1
40,0110101010100011101001000100010001110100,00110001100001000100010010111100101010001000111011110110111111101111001010100010110000,0110101010100011101001000100010001110100,1
40,0101010011001110000100100101111110111110,00110101000100100000010100001010011100111110001110001101111001010110101110010110011100,0101010011001110000100100101111110111110,1
40,0101101110110110111110011011000100110001,00111100110110111010101101101101101110010110010000011011010111111110000001011111111011,0101101110110110111110011011000100110001,1
40,0100111100000110110011100010101101001100,00111110000010011001110000110001101101010000101001111111110001110110001000000101110000,0100111100000110110011100010101101001100,1
40,1010001100000001111011001000011111010100,11110100101111000101110000000011001001101011010100111011001100100101101000011010110000,1010001100000001111011001000011111010100,1
40,0111110001001100100100111000100001111001,00110010010010011111111000000101001110001110000010100111111110110011001001100100111011,0111110001001100100100111000100001111001,1
